 0.01592, 0.025, 0.04, 0.063, 0.1, 0.16, 0.25, 0.4, 0.63, 1.0
 1.0  2.0  3.0  5.5  8.5  13.0  21.0  24.5  40.0  41.5 
 1.0  1.0  2.0  4.0  6.0  9.0  13.0  20.0  26.0  38.0
 1.0  1.0  3.0  4.0  7.0  11.0  16.5  24.0  32.0  49.0 
 1.0  1.0  2.0  3.0  5.5  8.5  12.0  19.5  24.5  39.0
 1.0  1.0  2.0  4.0  6.0  9.5  13.5  21.0  26.5  37.0 
 1.0  1.0  2.0  4.0  6.0  9.5  14.0  21.0  27.0  39.5 
 1.0  1.0  2.0  3.0  5.0  7.0  11.5  16.0  24.0  40.5  
 7.0  10.0  15.5  23.0  30.0  40.5  40.5  40.5  40.5  41.0  
 1.0  1.0  2.0  4.0  6.0  9.0  13.0  20.5  26.5  37.0  
 1.0  1.0  2.0  3.0  5.5  8.5  12.0  20.5  25.5  38.5  
 1.0  1.0  2.0  4.0  6.0  10.0  14.5  21.5  30.0  39.5  
 1.0  1.0  2.0  4.0  6.0  9.5  14.5  19.0  27.0  35.5  
 1.0  1.0  2.0  3.0  5.0  8.5  13.0  20.0  24.5  42.0  
 1.0  2.0  3.0  5.0  8.0  12.0  17.0  25.0  39.0  42.0  
 1.0  1.0  2.0  4.0  6.0  9.0  14.0  20.5  26.5  37.0  
 1.0  1.0  2.0  3.0  4.5  7.0  11.0  15.5  23.0  38.5  
 1.0  1.0  2.0  4.0  6.0  9.5  14.0  21.5  28.5  39.5  
 1.0  1.0  2.0  3.0  5.0  8.0  11.5  17.0  23.0  39.0  
 1.0  1.0  3.0  4.0  7.0  10.0  15.0  22.0  32.0  38.5  
 1.0  2.0  3.0  5.0  8.0  12.5  17.0  24.0  33.5  34.5  
 1.0  1.0  2.0  3.0  5.0  8.0  12.0  18.0  23.0  33.0  
 1.0  1.0  2.0  3.5  5.5  9.0  14.0  19.5  26.5  42.0  
 1.0  1.0  2.0  3.5  6.0  9.0  13.5  20.0  27.0  35.5  
 1.0  1.0  2.0  4.0  6.0  9.0  13.5  20.5  27.0  37.0  
 1.0  2.0  3.0  5.0  7.0  11.5  16.5  24.0  34.0  37.0  
 15.0  22.5  32.5  36.5  36.5  36.5  36.5  36.5  36.5  37.0  
 1.0  1.0  2.0  3.0  5.0  8.5  13.0  18.5  24.5  34.0  
 1.0  1.0  2.0  4.0  6.0  9.0  13.5  20.0  28.5  34.5  
 1.0  1.0  2.0  4.0  6.5  9.5  15.0  23.0  30.0  42.0  
 1.0  1.0  2.0  4.0  6.0  10.0  14.5  22.0  31.5  42.5  
 1.0  1.0  2.0  4.0  6.0  9.0  13.5  19.5  27.0  35.0  
 1.0  1.0  3.0  4.0  7.0  10.0  14.5  23.0  29.0  36.0  
 1.0  1.0  2.0  3.5  6.0  9.0  12.5  19.5  26.5  35.5  
 1.0  1.0  2.0  4.0  6.0  9.0  14.5  21.0  25.0  39.5  
 1.0  1.0  2.0  3.0  5.0  8.0  13.0  18.5  25.0  34.5  
 1.0  1.0  2.0  3.0  5.5  8.5  13.0  20.0  25.5  39.5  
 1.0  1.0  2.0  3.5  6.0  9.0  13.5  20.5  26.0  37.0  
 1.0  1.0  2.0  4.0  6.0  9.0  14.5  21.0  26.5  40.0  
 1.0  1.0  2.0  4.0  7.0  10.0  15.0  21.5  29.5  38.5  
 1.0  1.0  2.0  4.0  6.0  8.5  13.0  20.5  26.0  41.5  
 1.0  1.0  2.0  3.0  5.0  8.0  12.0  18.0  24.5  38.0  
 1.0  1.0  2.0  3.0  5.0  8.0  12.0  17.5  24.0  39.5  
 1.0  1.0  2.0  3.0  5.0  8.0  11.5  16.5  23.5  39.5  
 1.0  1.0  2.0  3.0  5.0  8.0  12.0  17.5  25.5  38.0  
 1.0  1.0  2.0  4.0  6.0  9.5  14.0  20.5  27.0  37.5  
 1.0  1.0  2.0  4.0  7.0  10.5  14.5  22.0  29.0  37.0  
 1.0  1.0  2.0  4.0  6.0  9.5  13.5  20.5  28.5  37.0  
 1.0  2.0  4.0  6.0  9.0  14.5  21.5  26.5  39.5  40.0  
 1.0  1.0  2.0  3.0  6.0  8.5  12.5  19.5  26.5  36.5  
 1.0  1.0  2.0  4.0  6.5  10.0  15.5  22.0  37.0  42.5  
 

  1.0  36.5  36.5  36.5  36.5  36.5  9.0  9.0  12.5  13.0 
